year,lat,long,temperature,precipitation,mzb.biomass,Actitis hypoleucos,Alcedo atthis,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Ardea cinerea,Aythya ferina,Aythya fuligula,Aythya marila,Branta bernicla,Branta canadensis,Branta leucopsis,Bucephala clangula,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris minuta,Calidris temminckii,Carduelis flavirostris,Charadrius dubius,Charadrius hiaticula,Chlidonias niger,Circus cyaneus,Cygnus columbianus,Cygnus olor,Egretta alba,Eremophila alpestris,Falco columbarius,Falco peregrinus,Fulica atra,Fulmarus glacialis,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia stellata,Haematopus ostralegus,Larus argentatus,Larus canus,Larus fuscus,Larus glaucoides,Larus hyperboreus,Larus marinus,Larus minutus,Larus ridibundus,Larus sp.,Limosa lapponica,Limosa limosa,Mergus albellus,Mergus merganser,Mergus serrator,Numenius arquata,Numenius phaeopus,Pandion haliaetus,Panurus biarmicus,Phalacrocorax aristotelis,Phalacrocorax carbo,Philomachus pugnax,Phoenicopterus ruber ruber,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Somateria mollissima,Stercorarius parasiticus,Sterna albifrons,Sterna caspia,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Vanellus vanellus
1993,53.50341,8.5402,9.029589041,2.231506849,1.728,1,0,0,0,0,8,1,10,0,0,0,5,0,0,5,2,4,0,0,0,0,2,0,0,3,0,0,0,0,2,0,3,0,0,0,8,0,0,0,0,9,0,2,0,0,0,1,10,9,0,0,0,9,0,10,0,1,0,0,2,0,3,1,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,2,0,0,4,0,6,1,1,1,0,1,3
1994,53.50341,8.5402,10.22,2.139452055,0.215,3,0,0,1,2,17,2,22,1,0,5,15,0,0,14,4,14,1,1,2,0,6,0,1,8,0,0,0,0,0,0,7,0,0,0,22,0,0,0,0,21,0,0,10,0,0,11,22,20,2,0,0,19,0,22,0,2,6,0,1,0,6,1,0,0,0,15,0,0,1,0,1,2,17,0,0,0,10,0,0,0,0,0,2,0,0,14,0,22,1,2,1,0,9,10
1995,53.50341,8.5402,9.795890411,2.116438356,1.1975,4,0,0,0,9,18,4,20,0,3,1,14,0,0,13,6,18,0,0,0,0,5,0,1,4,0,0,0,0,0,0,7,1,0,0,20,0,0,0,0,20,2,4,12,0,0,10,20,19,6,0,0,20,1,20,0,4,2,3,4,0,5,0,0,0,0,20,1,2,0,1,0,0,14,0,0,0,10,0,0,0,0,0,3,1,0,8,0,20,1,0,3,2,6,6
1996,53.50341,8.5402,8.062568306,1.333060109,6.4866,5,0,0,1,13,19,1,20,0,2,0,12,0,1,8,9,14,0,0,0,0,7,0,0,6,1,0,0,0,2,0,3,1,0,0,20,0,0,0,0,20,0,2,5,0,0,6,20,18,4,0,0,20,1,20,0,3,3,7,9,2,5,0,0,0,0,13,0,0,0,1,0,0,15,0,0,0,11,0,0,0,0,0,2,1,0,4,0,14,0,0,2,0,6,3
1997,53.50341,8.5402,9.878356164,1.66739726,6.75805,1,1,0,0,10,18,1,21,0,0,2,11,0,0,9,9,17,0,0,1,2,8,1,0,3,0,0,0,0,4,0,4,2,0,1,20,0,0,0,0,19,0,1,3,0,1,7,21,17,1,0,0,21,2,21,0,4,8,7,5,0,7,0,0,1,0,18,0,0,0,1,1,0,18,0,0,0,10,0,0,2,0,0,2,0,0,2,0,16,0,0,4,0,4,6
1998,53.50341,8.5402,9.800273973,2.847945205,0.5498,5,0,1,1,10,16,5,17,0,1,0,10,0,0,9,5,14,0,0,0,0,8,0,0,5,1,1,1,0,1,0,4,0,0,0,17,0,0,0,0,17,0,2,2,0,0,7,17,15,3,0,1,17,0,17,0,4,2,5,4,0,5,0,0,0,0,17,0,0,0,2,0,0,16,0,0,0,12,1,0,0,0,0,2,1,0,3,0,16,3,1,3,0,5,4
2001,53.50341,8.5402,9.885479452,2.54109589,2.8684,4,0,1,1,11,27,16,29,0,3,1,13,0,0,19,6,25,0,0,2,0,8,0,0,6,0,0,2,0,3,0,1,1,4,0,24,0,0,1,0,25,0,5,13,0,0,13,29,22,6,1,0,28,0,26,0,1,1,3,3,0,24,0,0,0,0,26,0,0,0,0,0,0,24,1,0,0,20,0,0,0,0,0,6,2,0,13,0,23,10,0,4,0,1,7
2002,53.50341,8.5402,10.52410959,2.725205479,8.80315,8,0,1,3,14,24,16,27,1,0,4,16,0,1,23,7,25,0,0,0,2,5,0,0,5,2,0,2,0,0,0,4,1,2,0,22,0,0,0,1,24,0,5,14,0,0,15,27,22,9,0,0,25,1,24,0,6,3,6,4,0,24,0,1,0,0,26,0,0,0,0,0,1,19,1,0,0,17,0,0,0,0,0,6,0,0,13,0,22,14,0,4,0,8,10
2003,53.50341,8.5402,10.25150685,1.811232877,4.0393,6,0,1,1,13,20,8,25,0,0,1,12,0,0,14,11,24,0,0,0,3,8,0,0,5,0,0,0,0,0,2,4,1,1,0,25,0,0,0,1,25,0,0,21,0,0,10,25,22,7,0,0,24,1,25,0,2,10,3,4,0,15,0,0,0,0,24,0,0,0,0,0,0,20,0,0,0,16,0,0,0,0,0,8,0,0,10,0,21,11,0,0,1,16,4
2004,53.50341,8.5402,10.17021858,2.369945355,3.72515,5,0,0,1,10,20,10,25,0,3,0,11,0,0,16,11,22,0,0,0,0,10,0,0,9,1,0,0,0,1,0,1,0,1,0,25,0,0,1,1,25,0,0,17,0,1,10,25,16,12,0,0,24,1,25,0,4,7,3,2,1,24,0,0,0,2,25,1,0,0,0,0,0,20,0,0,0,18,0,0,1,1,0,8,0,0,12,1,25,13,0,1,0,20,3
2005,53.50341,8.5402,10.41452055,2.108767123,3.016,4,0,0,1,13,20,4,23,0,1,0,19,0,0,13,7,22,0,0,0,2,10,0,0,3,0,0,0,0,1,0,2,0,1,0,23,0,0,0,0,23,0,2,10,0,0,11,23,17,6,0,0,23,1,23,0,4,3,2,2,0,19,0,0,0,0,22,0,0,0,0,0,0,20,0,0,1,17,0,0,0,0,1,6,0,0,13,0,21,10,0,4,0,19,4
2006,53.50341,8.5402,10.86958904,1.99369863,2.3565,4,0,0,2,10,19,7,21,0,4,0,16,0,0,7,10,20,0,0,0,0,10,0,0,6,0,0,0,0,0,0,3,0,0,0,20,0,0,0,1,21,0,0,12,0,1,8,21,17,6,0,0,19,1,21,0,1,2,5,6,1,19,0,0,0,0,21,0,0,0,0,2,0,19,0,1,0,17,1,0,0,1,0,6,1,0,11,0,21,8,0,0,0,17,8
2007,53.50341,8.5402,10.97671233,2.523013699,2.44725,1,0,0,3,5,13,6,14,0,2,0,9,0,0,5,3,14,0,0,0,0,7,0,0,1,0,0,0,0,0,0,2,0,0,0,12,2,0,0,0,14,0,0,3,0,0,12,14,11,9,0,0,14,2,14,0,2,8,1,1,0,14,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,13,0,0,0,0,0,6,0,0,7,0,14,5,0,0,0,8,1
