year,lat,long,temperature,precipitation,mzb.biomass,Actitis hypoleucos,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser spp / Branta spp.,Anser spp.,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Aythya ferina,Aythya fuligula,Branta bernicla,Branta leucopsis,Branta sp.,Bucephala clangula,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris minuta,Carduelis flavirostris,Charadrius alexandrinus,Charadrius hiaticula,Chlidonias niger,Circus cyaneus,Cygnus columbianus,Cygnus olor,Egretta alba,Eremophila alpestris,Fulica atra,Gallinago gallinago,Gallinula chloropus,Gavia stellata,Haematopus ostralegus,Larus argentatus,Larus canus,Larus fuscus,Larus marinus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Phalacrocorax carbo,Philomachus pugnax,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Podiceps grisegena,Recurvirostra avosetta,Somateria mollissima,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Tachybaptus ruficollis,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Vanellus vanellus
1999,53.48254,7.02771,10.01479452,1.969589041,NA,0,0,0,0,0,0,453,0,0,1,31,0,0,0,0,0,0,0,277.1578947,392.8,0,0,0,0,0,0,70,0,0,0,0,0,12,0,17,0,0,0,0,201.5,50,16,0,2,0,19,0,0,0,0,0,0,0,0,40,0,0,0,0,0,10,210,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2000,53.48254,7.02771,10.06830601,2.213114754,NA,0,0,0,0,0,0,307.1666667,0,0,0,11,0,0,0,0,0,0,0,193.6666667,528.6923077,0,0,90.66666667,0,0,0,20,0,28,0,0,47,2,0,0,0,0,0,0,328.3333333,62.83333333,7,0,1,0,15,0,0,4,0,0,0,0,0,209.4,0,0,2,0,0,32,120,93.75,0,0,20,2,0,0,0,0,6.8,0,0,2,0,37,86.66666667
2001,53.48254,7.02771,9.475342466,2.700821918,NA,1,0,0,0,14,23,1039.6,0,0,3,42,0,0,0,0,1,0,31,480,806,0,0,134.25,0,0,0,0,0,17,0,0,0,0,0,20,0,0,0,0,588.5,157.2,18,0,14,0,75.25,0,0,0,0,0,0,0,0,195.4,0,0,1,0,0,0,0,8,0,0,5.5,1.5,0,0,0,0,7.75,0,3,0,0,24.5,1
2002,53.48254,7.02771,10.07616438,2.227671233,NA,0,0,9,0,0,33.5,511.4,0,0,0,0,0,0,0,3,0,0,0,511.3333333,0,0,0,88,0,0,0,0,0,34,0,2,0,0,0,0,0,5,0,0,419.2,120,267,0,2,0,15.5,0,0,29,0,0,0,0,0,101.8,0,0,2,0,0,75,79,121.6666667,0,0,8,0,0,0,0,0,7.25,0,0,0,0,49.5,61
2003,53.48254,7.02771,9.617534247,1.933150685,NA,0,0,0,0,0,21.5,312,0,0,0,0,0,0,0,1,0,0,0,717,2180,0,0,79,9,0,0,70,0,11,0,0,0,0,0,0,0,0,0,0,248.5,14.33333333,57,0,0,0,14,0,0,122,0,0,0,0,0,77,0,0,2,0,0,0,0,126,0,0,7,0,0,0,0,0,5,0,0,0,0,44,6
2005,53.48254,7.02771,9.967671233,2.033424658,7.7566,0,0,0,0,0,7,556.5,0,0,0,0,0,0,0,1,1,7,0,2.5,0,0,0,254,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,475,16.5,8,0,1,0,24,0,0,0,0,0,0,0,0,132,0,0,0,0,0,70,0,7,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
2008,53.48254,7.02771,9.994808743,2.425136612,10.39035,0,0,0,6,0,12,441,0,0,0,4,0,0,0,0,0,0,0,1,2090,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,261.5,75.5,123,0,2.5,0,27,0,0,0,0,0,0,0,0,131.5,0,0,1,0,0,12,0,4.5,0,0,0,0,0,0,0,0,1192.5,0,0,0,0,0,0
2009,53.48254,7.02771,9.71369863,2.09260274,9.917655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,53.48254,7.02771,9.863835616,1.999178082,5.9212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,53.48254,7.02771,11.00849315,1.942465753,3.7735,1,0,0,3,0,0,421.8333333,0,0,0,0,0,0,50,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,159.1666667,39,304,2,3,0,242.5,0,0,0,0,0,0,0,0,184.75,0,0,0,0,0,70,0,0,0,0,0,5,0,0,0,0,171.8333333,0,0,1,1,0,0
2015,53.48254,7.02771,10.22958904,2.361917808,9.91655,21,8,0,1,0,0,415.9,0,2,0,0,0,0,0,2,0,0,2,0,9.5,0,0,2,0,0,0,4,0,8.25,0,0,0,0,0,0,0,0,0,0,21.875,258.625,100,0,83,0,750,0,0,0,0,0,0,0,0,61.83333333,0,4.5,2.25,0,1,1,0,3,0,0,8,1,1,0,0,0,105.2,0,0,0,0,24.66666667,4
