year,lat,long,temperature,precipitation,mzb.biomass,Accipiter nisus,Actitis hypoleucos,Alauda arvensis,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas sp.,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Anser spp / Branta spp.,Anser spp.,Anthus pratensis,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Botaurus stellaris,Branta bernicla,Branta canadensis,Branta leucopsis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Circus aeruginosus,Circus cyaneus,Columba palumbus,Corvus corone,Corvus monedula,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Emberiza schoeniclus,Eremophila alpestris,Falco columbarius,Falco peregrinus,Falco tinnunculus,Fulica atra,Gallinago gallinago,Grus grus,Haematopus ostralegus,Larus argentatus,Larus canus,Larus fuscus,Larus marinus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Melanitta nigra,Mergus merganser,Motacilla flava,Netta rufina,Numenius arquata,Numenius phaeopus,Panurus biarmicus,Perdix perdix,Phalacrocorax carbo,Phasianus colchicus,Philomachus pugnax,Phoenicopterus ruber ruber,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Recurvirostra avosetta,Somateria mollissima,Sterna hirundo,Sterna paradisaea,Sturnus vulgaris,Tadorna tadorna,Tringa erythropus,Tringa nebularia,Tringa ochropus,Tringa totanus,Vanellus vanellus
1994,53.54713,8.52331,10.22,2.139452055,7.430333333,0,1,0,2,1,7,8,19,0,0,1,2,11,0,2,1,0,0,14,0,0,1,1,1,0,2,5,7,0,0,0,3,13,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,9,0,0,0,0,0,0,8,0,0,16,17,5,8,5,0,18,4,2,1,3,1,1,0,0,18,6,0,0,7,0,1,0,0,0,0,9,6,3,13,7,0,0,0,18,1,1,0,7,15
1995,53.54713,8.52331,9.795890411,2.116438356,13.03525,0,0,0,1,2,3,9,24,1,0,0,2,11,1,3,0,0,0,16,0,0,2,0,1,0,4,3,5,1,0,0,1,13,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,12,0,0,0,0,0,0,5,0,0,17,23,11,7,4,0,21,2,3,2,4,0,0,0,0,21,0,0,0,5,0,1,0,0,0,0,6,5,1,9,4,0,1,0,24,1,0,0,8,17
1996,53.54713,8.52331,8.062568306,1.333060109,9.3402,0,4,2,2,7,9,16,37,1,0,1,5,20,0,5,0,0,2,19,1,0,0,0,0,0,4,4,4,1,0,0,1,19,7,0,0,3,0,0,0,9,5,2,1,0,1,2,3,15,0,1,1,0,1,6,3,3,0,22,33,28,11,15,1,31,2,5,9,6,0,0,2,0,32,8,3,2,6,1,0,0,0,0,1,13,14,1,17,4,1,0,2,29,4,6,1,17,27
1997,53.54713,8.52331,9.878356164,1.66739726,23.03865,0,0,0,0,3,4,10,28,0,0,1,4,14,0,2,0,0,0,16,1,0,0,0,1,0,2,3,6,0,0,0,0,15,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,17,27,18,6,4,0,25,2,3,1,0,0,0,0,0,25,5,0,0,3,0,0,0,0,0,0,10,8,0,7,2,0,0,0,28,2,1,0,9,20
1998,53.54713,8.52331,9.800273973,2.847945205,5.61975,0,0,0,0,0,0,1,11,0,0,0,1,6,2,1,1,0,0,3,0,0,0,0,0,0,1,2,2,0,1,0,0,3,1,0,0,1,0,0,0,3,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,7,6,5,1,1,0,7,2,3,1,1,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,4,4,0,0,1,0,0,0,11,1,0,0,3,6
2001,53.54713,8.52331,9.885479452,2.54109589,5.8769,0,0,0,2,7,8,15,32,0,0,0,4,19,0,0,1,0,0,20,1,0,0,0,0,0,1,0,6,0,0,0,1,15,4,0,1,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,28,30,20,1,7,0,32,2,9,7,4,0,0,0,0,31,0,0,0,5,0,0,0,0,0,0,12,5,0,17,0,0,0,0,32,6,5,0,16,14
2002,53.54713,8.52331,10.52410959,2.725205479,33.58685,0,0,0,3,4,5,12,27,0,0,0,1,14,0,0,0,0,0,16,1,0,0,0,0,0,0,0,3,0,0,0,3,10,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,24,22,21,1,4,0,24,6,9,4,2,0,0,0,0,27,1,0,0,7,0,0,0,0,0,0,3,6,0,13,0,2,0,0,27,9,5,0,14,13
2003,53.54713,8.52331,10.25150685,1.811232877,13.50243333,0,0,0,1,5,4,12,25,0,0,0,2,12,0,0,1,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,3,17,4,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,22,20,22,0,7,0,24,1,2,6,1,0,0,0,0,23,1,0,0,7,0,0,0,0,0,0,7,9,0,10,0,0,1,0,25,5,2,0,12,12
2004,53.54713,8.52331,10.17021858,2.369945355,14.6578,0,1,0,2,8,3,15,28,0,0,0,2,12,0,0,1,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,3,19,6,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,28,25,27,0,5,0,28,9,10,5,1,0,0,0,0,27,0,0,0,11,0,0,0,0,0,0,4,12,1,15,0,0,0,0,31,7,3,0,17,12
2005,53.54713,8.52331,10.41452055,2.108767123,13.8505,0,0,0,4,7,0,16,26,0,0,0,2,13,0,0,1,0,0,10,1,0,0,0,0,0,1,0,3,0,0,0,2,15,3,1,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,25,20,24,0,6,0,25,6,9,4,1,0,0,0,0,26,0,0,0,9,0,1,0,0,0,0,2,5,0,11,0,0,0,0,27,4,5,0,20,9
2006,53.54713,8.52331,10.86958904,1.99369863,12.3266,0,0,0,3,2,0,12,27,0,0,0,3,13,0,0,1,0,0,9,0,0,0,0,0,0,1,0,8,0,0,0,1,18,5,0,0,0,0,0,0,9,2,0,0,0,0,0,1,6,0,0,0,0,2,0,0,0,0,24,21,27,3,2,0,27,6,13,6,1,0,0,0,0,27,0,0,0,10,0,0,0,0,2,0,2,13,0,13,0,1,0,0,27,2,5,0,16,13
2007,53.54713,8.52331,10.97671233,2.523013699,6.603866667,0,0,0,1,3,1,10,26,0,0,0,1,11,0,0,4,0,0,11,0,0,0,0,0,0,1,0,6,0,0,0,0,18,7,0,0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,28,23,25,0,5,0,26,6,12,5,2,0,0,0,0,26,0,0,0,10,0,1,0,0,1,0,3,14,0,11,0,0,0,0,28,2,1,0,14,2
2008,53.54713,8.52331,10.47786885,2.282513661,18.50645,0,0,0,0,1,0,4,7,0,0,2,0,7,0,0,2,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,6,7,0,1,0,7,5,5,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,1,3,0,1,0,0,0,0,8,0,0,0,3,4
2009,53.54713,8.52331,10.16931507,1.910410959,20.5987,0,0,0,0,4,1,7,28,0,0,0,1,6,0,0,1,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,10,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,21,25,2,1,0,26,10,16,2,0,0,0,0,0,27,0,0,0,14,0,0,1,0,0,0,0,10,0,9,0,1,0,0,28,4,3,0,15,4
2010,53.54713,8.52331,8.53369863,1.955068493,22.31575,0,0,0,3,7,0,4,24,0,0,0,1,13,0,1,1,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,10,2,0,0,0,0,0,0,7,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,21,16,24,2,1,0,22,4,9,5,1,0,0,0,0,22,0,0,0,16,0,0,0,0,0,0,0,10,0,1,0,0,0,0,24,2,3,0,10,3
2011,53.54713,8.52331,10.26,2.024383562,4.25789,0,0,0,0,6,2,7,28,0,0,0,1,18,0,1,0,1,0,13,0,0,0,0,0,0,0,0,6,0,0,0,0,16,2,0,0,0,0,0,0,5,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,25,20,27,4,1,0,27,11,17,6,0,0,0,0,0,26,0,0,0,15,0,0,0,0,3,0,2,7,0,8,0,0,0,0,29,4,3,0,14,14
2012,53.54713,8.52331,9.778688525,1.992076503,2.7079,0,0,0,3,5,1,16,27,0,0,0,2,15,0,0,1,0,0,6,1,0,0,0,0,0,0,0,8,0,0,0,0,11,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,25,2,3,0,25,12,13,3,1,0,0,0,0,27,0,0,0,14,0,0,0,0,0,0,2,9,0,8,0,0,0,0,26,1,1,0,10,6
2013,53.54713,8.52331,9.405205479,2.022465753,4.7605,0,0,0,0,6,1,15,25,0,0,0,3,16,0,0,0,0,0,16,1,0,0,0,0,0,0,0,12,0,0,0,0,14,2,0,0,0,0,0,0,3,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,21,21,26,0,0,0,22,0,0,1,0,0,0,0,0,25,0,0,0,11,0,0,0,0,2,0,0,13,0,7,0,0,0,0,27,2,2,0,13,7
2014,53.54713,8.52331,11.26520548,1.857534247,6.7289,0,0,0,2,2,0,8,22,0,1,0,1,11,0,0,0,0,0,10,1,0,0,0,0,0,0,0,12,0,0,0,0,8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,15,22,3,1,0,18,0,0,0,2,0,0,0,0,23,0,0,0,8,0,0,0,0,1,0,0,5,0,4,0,0,0,0,24,0,0,0,7,11
